team_long_name,player_name,height,weight,date,away_team_goal,home_team_goal,country_id,potential,crossing,finishing,short_passing,dribbling,ball_control,acceleration,sprint_speed,stamina,score
Sunderland,Abderrazak Jadid,177.8,157.0,2012-08-31 00:00:00,2.0,2.0,Belgium,0.9942816367067268,1.2738059444672347,0.0041548260837035,0.1108852132099791,0.2725243264406145,0.040305955114614,1.3386572505505618,1.0325059023827436,0.4538506954933093,2
Liverpool,Abdeslam Ouaddou,190.5,181.0,2012-02-22 00:00:00,1.0,1.0,Belgium,-0.8301868625943581,1.2738059444672347,0.1620882338507301,-0.0303403362136999,0.1595572763722892,0.040305955114614,0.1034945013581391,0.314865273349576,-0.3074577583439608,2
West Ham United,Abdessalam Benjelloun,187.96,179.0,2011-08-30 00:00:00,0.0,1.0,Belgium,-0.8301868625943581,1.0994164268327675,0.1620882338507301,-0.2421786603492184,0.1595572763722892,0.040305955114614,0.1034945013581391,0.314865273349576,-0.3074577583439608,2
Wigan Athletic,Abdou Diallo,182.88,159.0,2010-08-30 00:00:00,0.0,0.0,Belgium,-1.2863039874196294,0.1693389994489437,-0.5222898664730521,-1.2307575063149716,-0.8571461742426378,-1.3447298543206672,-1.903644966079548,-1.6785809184092229,-0.6119811398788689,1
Aston Villa,Abdou Traore,180.34,174.0,2010-02-22 00:00:00,1.0,2.0,Belgium,-1.4383430290280532,0.1112091602374547,-0.5749343357287277,-1.301370281026811,-0.9136296992768004,-1.410683940484252,-1.9808426379040744,-1.7583187660795747,-0.9165045214137768,1
Manchester City,Abdoul Ba,200.66,212.0,2009-08-30 00:00:00,0.0,3.0,Belgium,-1.2863039874196294,0.1693389994489437,-0.5222898664730521,-1.2307575063149716,-0.8571461742426378,-1.3447298543206672,-1.903644966079548,-1.6785809184092229,-0.84037367603005,1
Everton,Abdoul Karim Yoda,182.88,161.0,2009-02-22 00:00:00,2.0,3.0,Belgium,-2.046499195461748,-1.92333521216466,-0.1011341124276476,-1.6544341545860086,-1.873849624857565,-1.6745002851385913,-0.1280985141154401,-0.7217267463649993,-0.84037367603005,1
Blackburn Rovers,Abdoul Razzagui Camara,177.8,157.0,2008-08-30 00:00:00,0.0,2.0,Belgium,-2.046499195461748,-1.92333521216466,-0.1011341124276476,-1.6544341545860086,-1.873849624857565,-1.6745002851385913,-0.1280985141154401,-0.7217267463649993,-0.84037367603005,1
Middlesbrough,Abdoulay Konko,182.88,157.0,2007-02-22 00:00:00,1.0,3.0,Belgium,-2.046499195461748,-1.92333521216466,-0.1011341124276476,-1.6544341545860086,-1.873849624857565,-1.6745002851385913,-0.1280985141154401,-0.7217267463649993,-0.84037367603005,1
Tottenham Hotspur,Abdoulaye Ba,198.12,174.0,2016-01-07 00:00:00,2.0,1.0,Belgium,-0.982225904202782,0.5181180347178778,0.4253105801291079,0.2521107626336581,0.3854913765089398,0.2381682136053685,0.7210758759543505,0.47434096869028,-0.0790652221927797,2
Bolton Wanderers,Abdoulaye Bamba,182.88,150.0,2015-10-09 00:00:00,2.0,3.0,Belgium,-0.5261087793775107,0.5181180347178778,0.4253105801291079,0.2521107626336581,0.3854913765089398,0.2381682136053685,1.0298665632524562,0.5540788163606319,-0.0790652221927797,2
Stoke City,Abdoulaye Diaby,172.72,154.0,2015-09-21 00:00:00,1.0,2.0,Belgium,-0.5261087793775107,0.5181180347178778,0.4253105801291079,0.2521107626336581,0.3854913765089398,0.2381682136053685,0.7982735477788769,0.5540788163606319,-0.0790652221927797,2
Hull City,"Abdoulaye Diallo Sadio,22",182.88,168.0,2014-12-12 00:00:00,3.0,2.0,Belgium,-0.2220306961606631,0.5762478739293667,0.1094437645950546,0.2521107626336581,0.3854913765089398,0.2381682136053685,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Fulham,Abdoulaye Diallo,187.96,174.0,2014-09-18 00:00:00,2.0,2.0,Belgium,-0.2220306961606631,0.6925075523523447,0.1094437645950546,0.2521107626336581,0.5549419516114276,0.3041222997689533,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Chelsea,Abdoulaye Doucoure,182.88,165.0,2014-04-18 00:00:00,0.0,1.0,Belgium,0.5381645118814556,0.6925075523523447,0.1094437645950546,0.2521107626336581,0.5549419516114276,0.3041222997689533,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Portsmouth,Abdoulaye Faye,187.96,218.0,2014-03-14 00:00:00,2.0,0.0,Belgium,0.5381645118814556,0.6925075523523447,0.1094437645950546,0.2521107626336581,0.5549419516114276,0.3041222997689533,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Birmingham City,Abdoulaye Keita,175.26,165.0,2014-01-31 00:00:00,0.0,3.0,Belgium,0.6902035534898794,0.8087672307753228,0.1094437645950546,0.3933363120573371,0.6114254766455902,0.5019845582597078,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
Wolverhampton Wanderers,Abdoulaye Meite,185.42,181.0,2013-11-29 00:00:00,2.0,3.0,Belgium,0.6902035534898794,0.9831567484097896,0.1094437645950546,0.6051746361928556,0.7243925267139155,0.5019845582597078,1.1070642350769826,0.9527680547123916,0.3777198501095823,2
